ticket_id,created_at,resolved_at,channel,category,subcategory,priority,status,sentiment,product,customer_plan,region,language,assigned_agent,message,resolution_note,resolution_time_hrs,csat_score,first_response_time_hrs,reopened,escalated,num_interactions,customer_tenure_days
TKT-00001,2025-06-01 07:35:00,,email,Feature Request,Export options,Low,In Progress,Neutral,TaskBoard,Enterprise,South Asia,English,Agent_001 (Priya S),Is there any plan to expose an API for the reporting module?,Issue fixed by agent,,,2.4,False,False,10,542
TKT-00002,2024-02-16 14:49:00,2024-02-17 08:07:00,whatsapp,Refund / Return,Full refund,High,Escalated,Negative,DataDash,Enterprise,South Asia,Arabic,Agent_006 (Raj P),I was overcharged and would like a partial refund for the difference.,Escalated to engineering,17.3,,12.9,False,True,8,778
TKT-00003,2024-11-18 13:41:00,,helpdesk_portal,Technical Issue,Feature not working,Critical,In Progress,Negative,DataDash,Free,Southeast Asia,Spanish,Agent_004 (Omar F),My data isn't syncing across devices. Last successful sync was 10 days ago.,Issue fixed by agent,,,8.8,False,False,3,1044
TKT-00004,2024-01-12 10:43:00,,chat,Account Access,Account deletion,High,In Progress,Very Negative,CloudSync Pro,Professional,Southeast Asia,Hindi,Agent_005 (Sophie M),I'm having trouble with 2FA — the codes aren't working on my new phone.,Issue fixed by agent,,,20.9,False,False,11,1040
TKT-00005,2024-11-10 14:03:00,2024-11-13 12:45:00,chat,Feature Request,Dark mode,Low,Resolved,Very Negative,TaskBoard,Free,South Asia,English,Agent_009 (Yuki T),It would be really helpful if SecureVault supported direct integration with HubSpot.,Pending customer,70.7,1.9,18.2,False,False,12,639
TKT-00006,2024-03-01 14:04:00,2024-03-05 01:16:00,email,Technical Issue,Performance slow,Medium,Closed,Negative,DataDash,Free,North America,Hindi,Agent_006 (Raj P),The app keeps crashing when I try to export a report. I'm on macOS Sonoma.,Issue fixed by agent,83.2,2.7,8.6,False,False,12,111
TKT-00007,2024-09-12 09:28:00,2024-09-12 22:10:00,email,Feature Request,Dark mode,Critical,Resolved,Positive,DataDash,Starter,Middle East,English,Agent_004 (Omar F),It would be really helpful if TaskBoard supported direct integration with Slack.,Issue fixed by agent,12.7,4.0,9.4,False,False,8,585
TKT-00008,2024-02-28 08:37:00,2024-02-28 17:19:00,twitter_dm,Account Access,Account deletion,Critical,Resolved,Very Negative,InvoiceFlow,Starter,North America,Hindi,Agent_005 (Sophie M),My account appears to be locked. I haven't violated any terms.,No action needed,8.7,1.4,14.0,False,False,5,419
TKT-00009,2024-04-12 09:34:00,,phone,Feature Request,Export options,Medium,In Progress,Neutral,InvoiceFlow,Enterprise,Europe,English,Agent_006 (Raj P),A dark mode option would be greatly appreciated for late-night work sessions.,Refund processed,,,16.1,False,False,11,213
TKT-00010,2025-05-15 15:57:00,,web_form,General Inquiry,Pricing info,Low,Open,Neutral,InvoiceFlow,Professional,North America,English,Agent_006 (Raj P),Could you explain the difference between the Professional and Enterprise plans?,Issue fixed by agent,,,2.8,False,False,12,306
TKT-00011,2024-09-12 10:22:00,,helpdesk_portal,Account Access,Account deletion,High,In Progress,Negative,CloudSync Pro,Enterprise,Europe,Arabic,Agent_009 (Yuki T),I need to update the email address associated with my account.,Issue fixed by agent,,,3.9,False,False,7,80
TKT-00012,2024-10-12 18:41:00,2024-10-17 08:05:00,email,Refund / Return,Policy inquiry,Low,Resolved,Very Negative,DataDash,Starter,Southeast Asia,English,Agent_003 (Lena K),I want to return an item from order #51114 — it doesn't meet my needs.,Pending customer,109.4,1.4,13.9,False,False,12,894
TKT-00013,2024-05-07 16:32:00,2024-05-07 23:14:00,email,Billing,Invoice request,Critical,Resolved,Negative,TaskBoard,Starter,South Asia,French,Agent_003 (Lena K),My payment of $211.99 failed but the amount was still deducted from my account.,Self-service guided,6.7,2.5,0.1,False,False,7,1188
TKT-00014,2024-12-09 09:52:00,2024-12-13 00:22:00,web_form,Feature Request,Export options,Medium,Resolved,Negative,DataDash,Enterprise,Southeast Asia,French,Agent_003 (Lena K),A dark mode option would be greatly appreciated for late-night work sessions.,Escalated to engineering,86.5,2.5,5.9,False,False,1,219
TKT-00015,2024-11-20 21:39:00,2024-11-27 07:03:00,email,Delivery / Shipping,Missing package,Low,Resolved,Very Negative,DataDash,Enterprise,South Asia,English,Agent_005 (Sophie M),The tracking for order #73517 hasn't updated in 5 days.,Refund processed,153.4,1.4,17.2,False,False,6,655
TKT-00016,2025-02-02 07:54:00,2025-02-09 02:42:00,chat,General Inquiry,Partnership,Low,Resolved,Neutral,CloudSync Pro,Starter,North America,English,Agent_001 (Priya S),I'm interested in a partnership opportunity with your company.,Pending customer,162.8,3.3,16.3,False,False,3,958
TKT-00017,2024-12-01 13:29:00,2024-12-01 20:23:00,chat,General Inquiry,Documentation,Critical,Closed,Negative,InvoiceFlow,Free,South Asia,Arabic,Agent_002 (James T),Where can I find documentation on setting up the API?,Issue fixed by agent,6.9,2.8,14.9,False,False,8,1372
TKT-00018,2024-01-27 16:36:00,,web_form,Billing,Invoice request,Critical,In Progress,Negative,DataDash,Enterprise,South Asia,Spanish,Agent_002 (James T),Could you send me a detailed invoice for the period Apr–Jun 2024? I need it for tax purposes.,Self-service guided,,,12.8,False,False,2,1037
TKT-00019,2024-10-03 22:29:00,2024-10-08 01:11:00,chat,Feature Request,Dark mode,Low,Resolved,Negative,DataDash,Enterprise,Europe,English,Agent_002 (James T),A dark mode option would be greatly appreciated for late-night work sessions.,Refund processed,98.7,2.2,5.2,False,False,6,573
TKT-00020,2025-05-17 21:50:00,,chat,General Inquiry,Pricing info,High,Open,Neutral,SecureVault,Professional,North America,German,Agent_007 (Elena V),Could you explain the difference between the Professional and Enterprise plans?,Escalated to engineering,,,16.9,False,False,5,473
TKT-00021,2024-10-16 10:53:00,2024-10-19 02:53:00,chat,Billing,Incorrect amount,Low,Resolved,Neutral,TaskBoard,Starter,North America,German,Unassigned,My payment of $96.49 failed but the amount was still deducted from my account.,Refund processed,64.0,3.9,,False,False,8,981
TKT-00022,2024-11-07 09:15:00,2024-11-09 14:21:00,email,Account Access,Email change,Low,Escalated,Positive,DataDash,Starter,Middle East,French,Agent_001 (Priya S),My account appears to be locked. I haven't violated any terms.,Issue fixed by agent,53.1,,15.0,False,True,2,322
TKT-00023,2024-08-27 15:50:00,2024-08-30 18:50:00,chat,Technical Issue,Data sync issue,Medium,Resolved,Neutral,InvoiceFlow,Free,Europe,English,Agent_008 (Daniel N),I'm unable to export a report since the latest update. Getting error code ERR-161.,Issue fixed by agent,75.0,3.1,16.6,False,False,5,1025
